participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
gr,2.0,2.0,0.15,0.5534213740029372,5,1.0,0.7391304347826086,0.5769230769230769,0.9375,0.6666666666666666,0.8260869565217391
gr,2.0,2.0,0.15,1.5172544989618473,4,1.0,0.7391304347826086,0.5769230769230769,0.9375,0.6666666666666666,0.6153846153846154
gr,2.0,1.0,0.125,0.5521852079546079,4,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.5,0.6153846153846154
gr,2.0,1.0,0.25,0.5048060819972306,5,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.5,0.8260869565217391
gr,1.0,1.0,0.275,0.3781550829880871,4,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.6153846153846154
gr,2.0,2.0,0.125,0.2752919580088928,5,1.0,0.7391304347826086,0.5769230769230769,0.9375,0.5,0.8260869565217391
gr,1.0,2.0,0.125,1.0411867910297588,5,0.0,0.7391304347826086,0.95,0.9375,0.5,0.8260869565217391
gr,1.0,1.0,0.35,0.5552512489957735,3,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8333333333333334
gr,2.0,1.0,0.125,0.4019421659759246,4,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.5,0.6153846153846154
gr,2.0,2.0,0.375,0.8363942069699988,4,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.6153846153846154
gr,2.0,1.0,0.05,1.0305869579897262,5,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.0,0.8260869565217391
gr,2.0,1.0,0.5,0.9760731659480372,4,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.5,0.6153846153846154
gr,1.0,1.0,0.5,0.3210244569927454,5,1.0,0.7391304347826086,0.95,0.6333333333333333,0.5,0.8260869565217391
gr,2.0,2.0,0.3,1.0206817080033943,2,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,1.0
gr,2.0,2.0,0.325,0.2904954580008052,4,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.6153846153846154
gr,2.0,2.0,0.25,0.6482042070128955,3,1.0,0.7391304347826086,0.5769230769230769,0.9375,0.5,0.8333333333333334
gr,1.0,1.0,0.2,0.3403910410124808,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,2.0,1.0,0.025,1.3512948320130818,5,0.0,0.7391304347826086,0.5769230769230769,0.6333333333333333,0.6666666666666666,0.8260869565217391
gr,1.0,1.0,0.375,0.2690289159654639,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,2.0,2.0,0.375,1.0934938740101643,5,1.0,0.7391304347826086,0.5769230769230769,0.9375,1.0,0.8260869565217391
gr,2.0,2.0,0.4,1.083893832983449,5,1.0,0.7391304347826086,0.5769230769230769,0.9375,0.75,0.8260869565217391
gr,1.0,1.0,0.025,0.5071233329945244,5,1.0,0.7391304347826086,0.95,0.6333333333333333,0.6666666666666666,0.8260869565217391
gr,1.0,1.0,0.425,0.2509160820045508,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,1.0,1.0,0.425,0.2570084580220282,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,1.0,1.0,0.3,0.2435364989796653,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
gr,1.0,1.0,0.125,1.0435091240215115,5,1.0,0.7391304347826086,0.95,0.6333333333333333,0.5,0.8260869565217391
gr,1.0,1.0,0.175,0.2595263330149464,5,1.0,0.7391304347826086,0.95,0.6333333333333333,1.0,0.8260869565217391
