participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
g,2.0,2.0,0.5,2.319297624984756,3.0,1.0,0.54,0.4,0.7058823529411765,1.0,0.6296296296296297
g,2.0,2.0,0.075,2.24410833301954,3.0,1.0,0.54,0.4,0.7058823529411765,0.75,0.6296296296296297
g,2.0,1.0,0.075,9.218708457949106,1.0,0.0,0.54,0.4,0.45454545454545453,0.75,0.2
g,1.0,1.0,0.05,3.0995190830435604,3.0,1.0,0.54,0.75,0.45454545454545453,0.6,0.6296296296296297
g,2.0,2.0,0.25,0.7838037079782225,3.0,1.0,0.54,0.4,0.7058823529411765,0.75,0.6296296296296297
g,1.0,1.0,0.5,2.2755047499667853,4.0,1.0,0.54,0.75,0.45454545454545453,1.0,0.6
g,2.0,2.0,0.1,1.428168457990978,3.0,1.0,0.54,0.4,0.7058823529411765,0.5,0.6296296296296297
g,2.0,1.0,0.2,1.320346749969758,3.0,0.0,0.54,0.4,0.45454545454545453,0.3333333333333333,0.6296296296296297
g,2.0,2.0,0.25,0.6389094169717282,3.0,1.0,0.54,0.4,0.7058823529411765,0.75,0.6296296296296297
g,2.0,2.0,0.25,2.2031375829828903,3.0,1.0,0.54,0.4,0.7058823529411765,0.75,0.6296296296296297
g,1.0,2.0,0.425,4.449306166963652,4.0,0.0,0.54,0.75,0.7058823529411765,0.0,0.6
g,2.0,1.0,0.45,1.527623166970443,2.0,0.0,0.54,0.4,0.45454545454545453,0.5,0.46153846153846156
g,2.0,2.0,0.35,0.7462519989931025,2.0,1.0,0.54,0.4,0.7058823529411765,1.0,0.46153846153846156
g,2.0,1.0,0.275,3.0431097500259057,2.0,0.0,0.54,0.4,0.45454545454545453,0.2,0.46153846153846156
g,2.0,1.0,0.1,0.935800792009104,3.0,0.0,0.54,0.4,0.45454545454545453,0.5,0.6296296296296297
g,2.0,2.0,0.475,0.6477535410085693,4.0,1.0,0.54,0.4,0.7058823529411765,1.0,0.6
g,1.0,2.0,0.05,0.9668145829928108,3.0,0.0,0.54,0.75,0.7058823529411765,0.6,0.6296296296296297
g,1.0,1.0,0.05,8.443291124945972,1.0,1.0,0.54,0.75,0.45454545454545453,0.6,0.2
